NAME,STATE_NAME,FIPS,HR60,HR70,HR80,HR90,UE60,UE70,UE80,UE90,DV60,DV70,DV80,DV90,MA60,MA70,MA80,MA90,DNL60,DNL70,DNL80,DNL90,MFIL60,MFIL70,MFIL80,MFIL90,FP60,FP70,FP80,FP90,BLK60,BLK70,BLK80,BLK90,GI60,GI70,GI80,GI90,FH60,FH70,FH80,FH90
Liberty,Montana,30051,0.0,0.0,0.0,0.0,5.1,0.5,1.8318965517,2.5988700565,2.39912759,3.1137724551,4.2081949059,4.4416243655,24.8,26.9,30.0,34.0,0.6007514432,0.4942893725,0.4902150992,0.4731982692,8.6755635274,9.0595174822,9.7629027717,10.242563539,16.0,8.1,14.146341463,11.917098446,0.0,0.0,0.0,0.1307189542,0.2863521291,0.3793765473,0.390840888,0.377959002,9.2257001647,5.6,5.8536585366,9.4991364421
Hill,Montana,30041,3.5740452832,3.8406882513,7.4135853952,1.888146218,6.3,4.3,6.5044567574,7.372423945,2.4852844997,2.514011209,5.1308744795,7.6430134417,24.0,24.2,27.2,31.7,1.8520289834,1.7800754875,1.8257588083,1.8074938001,8.7339161749,9.0961633269,9.9023368908,10.343579505,14.7,11.1,9.8385040374,12.41974762,0.1286656302,0.4551215578,0.0500417014,0.1076243344,0.2596778551,0.3441587348,0.3586574772,0.3694062956,9.3560429305,7.5,11.432214195,13.194598185
Sheridan,Montana,30091,0.0,0.0,0.0,0.0,5.5,3.0,1.1560693642,4.4730077121,1.7998244074,1.9626168224,3.7122969838,6.4480266815,29.2,31.3,33.4,39.6,1.3382270761,1.2271380611,1.1697778179,1.0375203702,8.4228825119,9.0596337546,9.7567261711,10.136423006,27.9,8.2,11.154345006,11.382113821,0.0929080211,0.0173040318,0.0923531585,0.0,0.2699909989,0.3427664904,0.3652771534,0.3658637008,10.403530895,6.0,6.1608300908,7.6127124908
Divide,North Dakota,38023,0.0,0.0,0.0,0.0,5.1,4.0,1.950867052,2.534965035,1.1499760422,1.529219006,3.1358885017,5.45294635,29.2,34.6,40.1,43.9,1.4543123986,1.2558351675,0.9976460732,0.8337304329,8.3390230057,8.8192218576,9.7085669602,10.176677621,35.9,14.6,9.1649694501,8.3839611179,0.3413582465,1.0297984224,0.0,0.0344946533,0.3029912281,0.331764502,0.3556625422,0.334682613,11.547344111,5.5,5.3971486762,9.1130012151
Burke,North Dakota,38013,0.0,0.0,0.0,0.0,3.5,4.2,3.8067349927,4.5454545455,1.8885741265,1.3264129181,2.5776602776,5.7119205298,29.7,33.4,38.8,42.7,1.6601412205,1.4433907137,1.2295903169,1.0007011699,8.2456469009,8.810012048,9.5905560458,10.022159082,37.8,14.6,14.361702128,15.087719298,0.0,0.0211014982,0.0784929356,0.0333111259,0.2890553776,0.341186868,0.3528433278,0.3662032343,13.005390836,2.5,5.9397163121,5.6140350877
Renville,North Dakota,38075,0.0,0.0,0.0,0.0,4.1,6.0,3.9351851852,6.3281824871,0.8891523414,1.4035087719,2.7877055039,5.3322395406,27.9,30.7,33.6,37.2,1.6681752146,1.463380802,1.4177140956,1.2843320178,8.3219079682,8.9685235554,9.6958481878,10.186898015,31.1,10.7,13.6,8.6283185841,0.0,0.0,0.0,0.4430379747,0.2665788382,0.3280738529,0.3512234791,0.3490814371,9.8464317977,5.3,5.2,8.517699115
Bottineau,North Dakota,38009,2.9459419649,0.0,0.0,0.0,5.3,4.7,7.466973004,7.43873979,1.1185682327,1.8281036835,2.6745495495,5.0252844501,28.3,32.0,32.9,37.9,1.9091227962,1.7338641745,1.711928262,1.5687707171,8.3556149958,8.9061223309,9.631153757,10.194140208,25.7,13.3,10.228640193,10.40221914,0.0353513036,0.0315922494,0.0108236822,0.0748970166,0.2647430473,0.3836338256,0.3757123089,0.3689461754,11.198501873,6.8,5.9767348576,7.6745261211
Rolette,North Dakota,38079,0.0,0.0,19.16180778,5.2197515398,14.4,11.9,12.382331644,18.365110673,1.6148689823,1.6844469399,5.2306933136,8.4666502584,19.5,18.7,23.7,26.7,2.4557338628,2.5376182515,2.5891454603,2.6498418636,8.1092249531,8.7859982081,9.4487271527,9.7196248087,45.2,28.9,25.724770642,36.732736573,0.0939761301,0.05195255,0.0656976267,0.2192295647,0.3438081357,0.3764732409,0.4140004328,0.4659880446,14.565425024,13.5,17.431192661,29.923273657
Towner,North Dakota,38095,0.0,0.0,0.0,0.0,6.0,2.3,1.282916948,3.2930107527,0.8713480267,1.4084507042,2.2401991288,5.316091954,29.5,33.2,36.1,38.0,1.6849419785,1.4936901962,1.3643261845,1.2633230799,8.4474142968,8.8597894947,9.7213659757,10.055221028,25.7,14.7,12.442817932,18.858307849,0.0177809388,0.0,0.0740375123,0.0551419906,0.2705343299,0.417577773,0.3727587307,0.3984791888,11.881918819,8.4,5.6724611162,9.378185525
Cavalier,North Dakota,38019,0.0,8.1172125492,0.0,0.0,5.1,3.3,4.6649389115,3.2577319588,0.8155230596,0.8643617021,1.9933554817,3.6642522369,27.0,31.4,33.8,38.9,1.8955314222,1.692284987,1.6224875934,1.4041977377,8.2779202582,8.7677962556,9.740497924,10.195559973,35.2,14.5,11.203522505,10.288065844,0.029809221,0.0,0.0130958617,0.0659630607,0.3234004078,0.4092742788,0.380601317,0.3797525746,12.213740458,6.4,4.1585127202,4.1740152851
Pembina,North Dakota,38067,0.0,0.0,0.0,0.0,5.5,3.9,5.3765932793,4.8003802281,1.1562004081,1.5310028068,3.0015007504,4.8773448773,27.9,34.2,33.0,36.7,2.4438931087,2.2559633945,2.2282916806,2.1110687297,8.3342314297,8.9314198052,9.7072901702,10.264861439,31.5,13.2,9.9092812282,6.9758224336,0.0,0.0093214019,0.0480815463,0.1515479541,0.2965590124,0.3739440603,0.3593682282,0.3475096617,10.799347471,5.1,7.2923935799,6.9758224336
Kittson,Minnesota,27069,0.0,4.8640498079,0.0,0.0,7.9,5.8,10.031239153,4.836806921,1.3012361744,1.4734393176,2.9205607477,4.3636363636,32.1,35.7,34.8,38.6,2.0054191882,1.8086828368,1.7988891416,1.6594816798,8.326032686,8.8172977839,9.6944934243,10.296981289,34.9,13.3,10.967741935,8.3125,0.1678053458,0.0291842988,0.0,0.0,0.302112494,0.3557167823,0.3613477451,0.3484807474,12.127045236,6.8,6.5591397849,8.3125
Roseau,Minnesota,27135,0.0,0.0,0.0,2.2183770354,7.5,11.5,13.43679031,3.6407442109,1.1762044786,1.2257169288,2.5475046983,5.541740675,29.5,30.3,30.3,30.6,1.9812483317,1.931919105,2.0145650786,2.2013993918,8.181160858,8.9189179799,9.6705461587,10.317284521,41.0,15.1,12.155351319,8.8206144698,0.0,0.0259313683,0.0079529187,0.0266205244,0.3061873063,0.3709521671,0.3466738098,0.3187661207,13.415468857,5.7,6.4037948414,8.5976214073
Blaine,Montana,30005,4.1198038973,9.9103116793,14.287755394,14.863258026,7.1,10.6,4.6543938868,10.218978102,3.6448935402,3.9705280393,4.6172059984,7.4695761645,25.3,26.8,27.5,31.6,0.6379682304,0.4533451767,0.4971086364,0.4649746785,8.392989588,8.8217323809,9.6045422878,9.9686664936,30.8,25.2,17.779056387,23.22995904,0.1730317637,0.0,0.0285755108,0.0891795482,0.3107438791,0.4048151855,0.4024925476,0.418263954,12.996594779,10.3,9.8964326812,17.320070217
Phillips,Montana,30071,5.5306675516,0.0,12.421588721,0.0,4.3,4.3,6.6552901024,6.4935064935,2.4988641527,3.3872598584,4.9830672472,7.6680672269,28.9,29.0,29.6,34.0,0.1450938687,0.0326474886,0.0451049562,0.0044841819,8.3786205416,8.8861326182,9.526901404,10.198467927,30.6,13.1,14.968814969,11.546840959,0.049776008,0.0185666543,0.0,0.0387371683,0.2945176103,0.3815766588,0.3741928835,0.3835273412,10.621942697,7.2,9.702009702,10.748002905
Valley,Montana,30105,5.8548009368,5.8117571848,6.5040650407,4.0457984383,8.6,5.1,4.9851506152,5.4885868171,2.3427260813,2.977542266,5.5050774987,6.477093207,23.4,25.2,29.4,36.9,1.233683843,0.8355977659,0.730722419,0.5153875367,8.5801679906,9.0107912695,9.7567261711,10.204665643,21.1,14.0,11.431662459,12.543554007,0.9133489461,0.156917444,0.0487804878,0.1092365578,0.2649695226,0.3635675126,0.3546546773,0.3646484865,6.641221374,8.1,8.3663901911,10.06097561
Daniels,Montana,30019,0.0,10.811979673,0.0,0.0,3.7,0.4,2.1126760563,1.4285714286,2.7387120651,2.4513947591,3.0164533821,7.2951739618,29.1,33.0,34.4,41.6,0.9563640054,0.7591788691,0.6865376782,0.4630727168,8.4091624472,8.9549318601,9.6869471524,10.087141555,29.1,7.2,10.574412533,11.356466877,0.0,0.0,0.0,0.0,0.2729336748,0.3262659338,0.3805332896,0.3408270414,10.276243094,6.0,5.6135770235,8.2018927445
Whatcom,Washington,53073,1.4221312058,2.4395301465,4.0611928036,2.0869202275,8.3,7.5,9.9465805456,4.8106464113,2.716489211,3.0072439689,6.0559771361,8.0762862574,31.3,27.0,28.6,32.7,3.4987713104,3.6522696288,3.9163999144,4.0988467778,8.6017181465,9.1517574145,9.8996301222,10.46330332,20.4,8.7,8.6065725612,7.3936301033,0.0810614787,0.2451727797,0.3074010553,0.5086868054,0.2476296531,0.3469346369,0.3694361605,0.3584183508,9.174414697,7.1,9.7180541662,11.135022135
Bonner,Idaho,16017,2.1385342486,2.1422450728,5.518078605,3.7562917887,13.5,12.6,16.345860067,9.2370524852,3.6344008636,3.781882146,6.7615265828,10.195921631,30.4,32.8,30.9,36.3,2.1965832228,2.194849508,2.638784222,2.7292330909,8.4351150804,8.9304941853,9.5832822884,10.096089419,27.0,12.8,14.993286588,12.203744926,0.0192468082,0.0064267352,0.0993254149,0.1389827962,0.2615888664,0.3679734266,0.370303586,0.3751766696,8.661812704,7.1,8.3246307623,9.5718213958
Ward,North Dakota,38101,0.7081350555,1.1384335155,0.5708544549,1.1509930192,6.9,4.9,6.7356845225,6.3006837335,1.6780414501,2.0264192036,3.7675166552,5.8459549317,24.3,23.2,25.8,29.3,3.1367696721,3.3551431973,3.3536410239,3.3594538665,8.5876516551,9.0324091635,9.7775274254,10.212662,18.4,8.1,8.557929061,9.7942172441,0.6585656016,2.131147541,1.868406631,2.4360767252,0.2422548989,0.3407719307,0.3563725189,0.3620828173,9.0818634102,6.7,7.1338257803,11.285491013
Koochiching,Minnesota,27071,0.0,0.0,0.0,2.0451152422,8.8,8.2,14.629993451,6.0868424505,2.6703800786,2.5425101215,5.1552700015,9.7717439952,25.8,27.5,29.8,35.6,1.7607979141,1.7008156093,1.7322703833,1.6589277507,8.6452345413,9.0487621763,9.8423033992,10.247467252,15.4,11.1,9.2490453967,8.7299744602,0.0164925783,0.0350242251,0.0739855444,0.2760905577,0.2090718673,0.3324366314,0.326123069,0.3790203967,8.3293782629,7.4,8.4217225286,11.353610402
Skagit,Washington,53057,2.5965595586,1.9090891736,6.2365524338,2.9329813756,8.6,8.4,10.983842011,5.7951408062,3.883972468,3.7323171687,6.7523451382,9.4303986216,32.0,31.7,32.0,35.6,3.387657523,3.4075365168,3.6102601727,3.8252682972,8.6511994713,9.1472940703,9.8801677472,10.39912847,18.5,8.6,8.4355570492,8.1791670464,0.1324245375,0.0859090128,0.143440706,0.3519577651,0.2393464933,0.3448296708,0.3646229237,0.3622652932,8.6115180017,7.9,10.480031367,11.38248428
Williams,North Dakota,38105,0.0,1.7270262335,2.9980063258,1.5776105511,6.6,5.8,2.5605852766,5.3129402294,1.6324822101,1.7820324006,4.1817968842,6.6902794176,25.4,26.9,27.5,33.4,2.3687121047,2.2355110604,2.3723266756,2.3228080841,8.6000626692,9.0570726356,9.9563171662,10.270939218,20.5,10.5,6.6192652785,11.461619348,0.0226747086,0.0103621574,0.0134910285,0.0851909698,0.2534216726,0.3316745053,0.3365428771,0.3623355564,9.1330372659,8.3,8.3121719993,9.8843322818
McHenry,North Dakota,38049,3.0032735682,0.0,0.0,0.0,11.0,5.7,8.6453369639,8.330220396,0.9514013885,1.2635379061,2.1661817006,4.1683051514,26.9,30.6,34.8,39.3,1.7761152937,1.5639260303,1.4263319005,1.247918716,8.2128395847,8.837826364,9.522519916,9.99392223,38.4,16.6,17.160037003,15.956873315,0.0540589242,0.0445583157,0.0509035378,0.0612745098,0.2980247321,0.3465211156,0.3824834785,0.3707557393,10.265282584,6.5,5.0878815911,8.3557951482
St. Louis,Minnesota,27137,1.7272052093,2.1145512847,2.2499313771,2.3543696259,9.7,7.0,8.9177676256,8.3030663233,2.0474272707,2.4790241302,5.131153176,7.9164463247,30.4,29.6,30.0,35.7,3.6379834959,3.5897961605,3.591345952,3.4606563242,8.6042878983,9.1043129673,9.9476479683,10.346569524,17.6,7.9,6.1967241231,9.7079445912,0.2819662504,0.4531181324,0.4324368107,0.5579856013,0.2339973129,0.3184470542,0.3270809451,0.3572988068,10.715526828,9.0,10.650887574,13.314458358
Roosevelt,Montana,30085,5.6829483136,19.295706705,35.030731505,15.152892687,8.8,8.8,9.9171798683,14.184239734,3.0319148936,3.3532253481,7.1143085532,9.4177622753,22.9,24.9,27.2,29.8,1.5930357862,1.4692356215,1.4907105546,1.5409664364,8.4255164028,8.9815559408,9.7184823981,9.994880981,30.7,18.1,11.243929772,22.951414068,0.0937686472,0.0385914134,0.0,0.1545595054,0.3040535463,0.3769760378,0.3812248426,0.3913642939,12.080536913,11.5,15.203586104,21.936185642
Mountrial,North Dakota,38061,6.6157255797,3.9508514085,4.3408429917,0.0,10.8,6.3,5.5853581571,8.3416750083,1.6632623286,2.3824855119,3.7664132688,5.993084902,25.7,29.9,31.8,35.9,1.7119686998,1.5343398956,1.4304644032,1.3478737664,8.2753763748,8.7723004179,9.6366533126,10.053199826,36.8,20.4,13.211281544,17.250530786,0.0396943535,0.0355576627,0.013022529,0.0569719413,0.297856,0.389500516,0.3688477107,0.371125038,13.235926085,8.2,9.0054428501,13.588110403
Marshall,Minnesota,27089,0.0,0.0,0.0,0.0,4.7,12.2,11.064718163,7.8177966102,0.970135058,1.2624172185,2.0672882043,4.3898985131,30.7,30.9,31.0,36.5,2.0759418531,1.9878973193,2.0015966878,1.8249805685,8.2607513547,8.7473520776,9.6243687107,10.170915896,35.4,21.5,13.700966458,10.159039273,0.0140232786,0.0076569678,0.0230290934,0.0181933958,0.3169020347,0.3987769703,0.3595868822,0.3562698549,13.815789474,5.8,6.1114269471,7.0107108082
Ramsey,North Dakota,38071,0.0,2.5809781907,7.6640098099,0.0,5.3,4.5,5.3778080327,4.6212879546,0.9462365591,1.3123924269,3.344820596,6.6694719125,28.2,29.0,30.9,35.1,2.3769162545,2.3368471566,2.3529591289,2.3693498898,8.4589282833,9.0093251727,9.7779810173,10.229909453,23.5,10.5,6.9815195072,10.6020558,0.0669493417,0.0309717383,0.038320049,0.1656020819,0.2709045543,0.3926023368,0.345146003,0.3600186867,10.655737705,7.4,8.4188911704,12.540381791
Walsh,North Dakota,38099,0.0,0.0,0.0,4.816955684,3.9,4.3,5.6773560209,5.0704225352,0.7297003571,0.9591532992,2.21209051,4.7655502392,30.3,32.3,33.4,36.1,2.6386684515,2.5366178195,2.4781505245,2.3791415917,8.4022311729,8.9146261278,9.6305627211,10.233582354,27.6,11.5,13.227911647,10.70377308,0.0055564816,0.0061534675,0.0260230304,0.1228323699,0.2707704372,0.3673917458,0.3657301005,0.3574534185,12.306177701,7.4,6.9026104418,9.1249665507
Beltrami,Minnesota,27007,2.845962291,0.0,2.1517870592,8.7249883667,11.2,6.9,10.437383178,9.3269981776,1.3914542544,1.8079096045,3.770060287,6.4206228485,25.6,22.6,25.9,29.2,2.2347170089,2.3532539404,2.514279684,2.6191429375,8.2812176613,8.8529508871,9.5999470641,10.131937003,35.2,17.6,14.678652891,17.823908375,0.0469583778,0.094793918,0.1194241818,0.2908329456,0.301917638,0.3803470309,0.3829353567,0.3945599337,12.320483749,8.7,11.32429894,14.757814364
Pierce,North Dakota,38069,0.0,0.0,0.0,0.0,3.4,3.3,5.1149881047,5.0135501355,0.9791921665,0.9250693802,2.5272331155,3.8302277433,24.5,29.8,32.4,40.2,1.9633730758,1.8068979943,1.7826219729,1.602042523,8.3245788451,8.8740281226,9.6467872177,10.132374578,33.6,15.6,12.467532468,11.546840959,0.0,0.0,0.0,0.0395882819,0.2925990893,0.3825471959,0.3810281338,0.3292779915,10.042092604,6.1,6.038961039,6.8990559187
Chelan,Washington,53007,4.9086982132,3.2438832526,6.6576418633,4.4657097289,8.3,10.7,10.470816761,7.8845152765,3.3629308537,4.1390619875,6.3506672803,9.352848182,31.7,32.5,33.2,35.1,2.633672287,2.6451826614,2.7379757957,2.8839084794,8.6436496154,9.0610279688,9.8559765699,10.29657639,17.4,10.8,8.5883280757,10.512355158,0.0859022187,0.1021823225,0.1043030559,0.1531100478,0.2462917445,0.3676805074,0.3745053293,0.3834855348,8.7879072388,8.1,9.9684542587,12.236493089
Pondera,Montana,30073,17.422361601,5.0421015479,4.9522111623,5.1816156278,3.5,3.2,6.1684073107,6.7035245335,2.9092319628,2.6980728051,4.2897612303,5.9784946237,24.8,28.4,30.3,34.2,1.5373573436,1.3909945441,1.4171625926,1.3761178091,8.5326727623,8.9476760625,9.877451538,10.221577581,21.8,14.5,10.765027322,11.075747931,0.0,0.0151263046,0.0148566335,0.0777242344,0.2853235605,0.3870252933,0.3770559966,0.3706470458,8.6077411901,8.1,5.5191256831,11.39401655
Clallam,Washington,53009,3.3308906802,5.7520851309,3.8723667906,3.5420799093,5.9,7.5,10.314314683,8.0075800978,3.7829857907,3.6526853428,6.7167565932,9.8587724063,30.1,31.7,31.7,38.4,2.8406018403,2.9874263401,3.3834081327,3.4767341047,8.6387026088,9.1283708091,9.8932856901,10.323874113,18.9,8.6,7.8477508651,9.4647887324,0.1498900806,0.152430256,0.2207249071,0.5685038254,0.2405731859,0.3493204235,0.3616194465,0.3668539355,8.7888815354,6.5,9.660899654,12.281690141
Benson,North Dakota,38005,3.5329447094,4.0428542551,8.3920778785,9.2618319904,5.2,9.2,6.4634594198,10.927525347,1.0234798314,2.1634615385,4.3659043659,6.0582218725,27.3,28.0,28.4,31.0,1.9058133777,1.7709941549,1.7271973456,1.6455071643,8.1676357152,8.7511579814,9.5996760982,9.826444508,41.3,21.6,17.939698492,27.292457949,0.0211976683,0.0242571255,0.0125881168,0.0,0.3429951549,0.3721192769,0.366130697,0.4141948933,14.511627907,8.8,10.40201005,20.130222463
Chouteau,Montana,30015,4.5363817819,0.0,5.4716568177,0.0,1.8,1.9,2.4040325708,3.4987794955,3.0720756203,4.49669967,5.5370524563,7.1291866029,28.2,30.5,32.2,36.8,0.6265523918,0.499763904,0.4238119669,0.3163603625,8.6323059985,9.0710783046,9.7491118474,10.183767295,17.8,6.3,8.6155674391,13.115802943,0.0,0.0,0.0164149705,0.0733675715,0.2786055116,0.3700032553,0.3512955532,0.3924507629,10.120068611,7.3,5.9417706477,7.6135636596
Snohomish,Washington,53061,2.1293193727,2.8905075731,4.3428481188,2.5770871184,7.3,8.7,6.9690554042,4.1483198146,3.1086841159,3.7523657408,7.2508343176,9.7093322653,27.8,26.1,29.3,32.2,4.4076662748,4.8396354857,5.0811373155,5.4061573434,8.7003477345,9.2950490999,10.046895016,10.623568734,15.6,6.0,5.6469942355,4.874756382,0.2648099002,0.3815469997,0.6511311145,1.0237478578,0.234133063,0.3009798038,0.3319882863,0.3250668646,8.2444317533,7.4,10.701070546,12.202466532
Island,Washington,53029,0.0,1.234065134,3.0270008476,3.3225350943,7.2,10.0,9.9279977845,5.9188374978,2.3461183604,2.9634602474,5.0876297431,6.4464701795,24.0,25.5,29.3,32.2,4.5286354691,4.8474131948,5.3388102289,5.6649260288,8.5201887004,9.0716528522,9.7895346725,10.367976001,21.9,9.7,8.1118766404,5.3853019935,1.038802322,1.0069971493,1.5369596803,2.4154830135,0.2529903022,0.3576824347,0.3697619835,0.3509297329,8.8547079609,6.8,8.5055774278,8.5093722107
Sanders,Montana,30089,4.8449612403,14.09840688,3.8424591739,3.8451186219,10.0,11.9,18.323465254,9.4914251922,4.1296796604,3.7591100882,6.4859926918,8.9592760181,32.1,32.2,32.0,37.0,0.9068874076,0.9373771379,1.1493536347,1.1436897779,8.5109738916,8.9668665542,9.5852775417,9.9674008783,20.8,10.8,10.176619008,14.053377815,0.0145348837,0.0140984069,0.0691642651,0.1384242704,0.2283056815,0.3577660764,0.3751315414,0.36027127,8.4052964882,4.6,7.0647603028,8.0066722269
Lake,Minnesota,27075,0.0,2.4966918833,5.1112985254,0.0,9.1,8.3,16.567138714,9.6008403361,2.3276049598,1.9728468392,4.5079608671,7.2259941804,25.1,26.1,31.2,39.2,1.893865422,1.8679149028,1.8491443092,1.6015954851,8.6276606444,9.0828478515,9.9969323572,10.242349788,11.8,5.5,3.7162162162,7.0284406669,0.1240694789,0.1947419669,0.145672008,0.0288046087,0.1772952899,0.287648943,0.3020409887,0.3358228444,7.9646017699,4.6,5.6306306306,7.8783916313
Nelson,North Dakota,38063,0.0,0.0,12.739664947,0.0,5.5,4.7,3.5714285714,6.3573883162,1.3513513514,1.6732716865,2.6486988848,5.2208835341,34.8,39.6,41.9,44.3,1.9557680759,1.7640766282,1.663924569,1.5023442057,8.2677056648,8.7511579814,9.6111948675,10.063776497,32.6,14.8,13.689253936,10.250201776,0.0,0.0,0.0191094974,0.0453514739,0.2895555556,0.364336269,0.3742221818,0.3544344063,11.655405405,6.2,6.3655030801,7.2639225182
Grand Forks,North Dakota,38035,0.6847861071,0.5455358799,1.5128593041,0.9431782277,5.6,4.3,6.5347167934,5.5172826933,1.3570774164,1.7373597331,4.0701727209,5.5641255605,24.4,22.9,24.6,27.3,3.52195338,3.7492913396,3.826386754,3.8950213755,8.623173515,9.042868018,9.8150387794,10.321441022,15.1,7.7,7.8637457262,8.4784122563,0.5896008382,1.6431540702,1.7049924357,2.0457535758,0.23265491,0.3335992044,0.3589714797,0.350328313,9.788525029,6.4,9.7758642522,11.368384401
